Review Date,Source,Location,Address,City,State,ZIP,Star Rating,Author,URL,Feedback,Original Feedback Language (if not English),Engagement Response,reviews,Negative_Score,Neutral_Score,Positive_Score,Compound_Score,Sentiment
07/28/21,Google,84032 ILIFF,14091 E. Iliff Avenue   -,Aurora,CO,80014,5,julia moore,https://maps.google.com/maps?cid=16257314941577754228,Always amazing,--,--,amazing,0.0,0.0,1.0,0.5859,Positive
07/28/21,Google,75097 CLARION,22296 State Highway 68   -,Clarion,PA,16214,5,Mikael Shkambi,https://maps.google.com/maps?cid=7715513690480638950,Great service great people great place,--,--,great service great people great place,0.0,0.196,0.804,0.9231,Positive
07/28/21,Google,75034 BARTRAM PARK,14560 Old St Augustine Rd   -,Jacksonville,FL,32258,4,John Butler,https://maps.google.com/maps?cid=16105558124496399249,Food was great and service very good,--,--,food great service,0.0,0.328,0.672,0.6249,Positive
07/28/21,Google,90067 BRADLEY,1040 N. Kinzie Ave.   -,Bradley,IL,60915,5,Brittany Lane,https://maps.google.com/maps?cid=11916657387787750203,Great service very polite waiters,--,--,great service polite waiter,0.0,0.423,0.577,0.6249,Positive
07/28/21,Google,81043 PORTSMOUTH,1464 Woodbury Avenue   -,Portsmouth,NH,03801,1,Trevor McGlone,https://maps.google.com/maps?cid=4520806124498862384,not Applebee Portsmouth Appetizers were okay not great just okay order was supposed well done cheeseburger with lettuce pickles ketchup and mustard which came with fries girlfriend ordered Three Cheese Penne pasta with grilled chicken burger had tomatoes absolutely soaked inside the bun and outside which asked them remove and was underdone that was STILL RAW the center girlfriend pasta was drenched garlic that started burn her throat the complete wronge sauce was inside the dish she ordered Creamy Parmesan and she got Alfredo and the chicken was crusted with pepper did not sit well either our stomachs and NOT recommend going here for food stars review,--,--,appetizer great okay order cheeseburger lettuce fry cheese chicken burger tomato bun raw garlic complete wronge sauce dish pepper stomach food star,0.0,0.769,0.231,0.7184,Positive
07/28/21,Google,79086 LAVALE,12201 Winchester Rd. SW   -,LaVale,MD,21502,4,Deb Watson,https://maps.google.com/maps?cid=2753094347019764731,Best cheeseburger town,--,--,good cheeseburger town,0.0,0.408,0.592,0.4404,Positive
07/28/21,Google,94003 GOSHEN,1807 Reith Blvd   -,Goshen,IN,46526,5,People Unite !,https://maps.google.com/maps?cid=16224711922873272129,Great place,--,--,great place,0.0,0.196,0.804,0.6249,Positive
07/28/21,Google,98039 COMMERCE,105 E. Ridgeway Road   -,Commerce,GA,30529,2,John Burke,https://maps.google.com/maps?cid=747184169223849489,The service was very slow and our food was mediocre couldn have had nicer server though,--,--,service food mediocre nice server,0.0,0.588,0.412,0.4215,Positive
07/28/21,Google,83070 S-LITTLETON,582 Meadow Street   -,Littleton,NH,03561,4,Couch Dude,https://maps.google.com/maps?cid=3516473763992798682,Food was decent but after few bites lost appetite just tasted funny service was decent and quick and the blue mana margarita must,--,--,food decent bite appetite funny service decent quick,0.0,0.707,0.293,0.4404,Positive
07/28/21,Google,97049 LANCASTER,4967 Transit Road   -,Depew,NY,14043,5,Brittany Dion,https://maps.google.com/maps?cid=10502184681485687423,Cory the bartender was great,--,--,bartender great,0.0,0.196,0.804,0.6249,Positive
07/28/21,Google,88026 BILLINGS WEST,740 24th Street West   -,Billings,MT,59102,5,Heidi Hatch,https://maps.google.com/maps?cid=11221984144487206742,Fantastic food Fantastic staff,--,--,fantastic food fantastic staff,0.0,0.217,0.783,0.802,Positive
07/28/21,Google,93036 WEST LAFAYETTE,3009 Northwestern Avenue   -,West Lafayette,IN,47906,5,Lee Charlie,https://maps.google.com/maps?cid=11795353273285942668,Delicious great food,--,--,delicious great food,0.0,0.114,0.886,0.8316,Positive
07/28/21,Google,98029 THE WALK,129 N. Michigan Ave.   -,Atlantic City,NJ,08401,5,c verdetto,https://maps.google.com/maps?cid=915343319493997596,This the best Apple Bees been The service amazing Our waitress Wendy was amazing kind and very attentive The food was fresh and hot The manager was even wonderful The music the store even fun the prices are excellent and the waiters and waitresses are willing tell you what the food and how prepared would recommend this Apple Bees anyone who asked for place,--,--,good apple bee amazing kind attentive food fresh hot manager wonderful music store fun price excellent waiter waitress willing food apple bee place,0.0,0.409,0.591,0.9723,Positive
07/28/21,Google,75029 SPRINGDALE,3953 W Sunset Ave   -,Springdale,AR,72762,5,Emilio Santaella,https://maps.google.com/maps?cid=4704911744704240372,Excellent place nice people and nice atmosphere and really good food,--,--,excellent place nice people nice atmosphere food,0.0,0.301,0.699,0.8519,Positive
07/28/21,Google,80049 S-TERRELL,341 Tanger Dr.   -,Terrell,TX,75160,3,Nancy Morse,https://maps.google.com/maps?cid=3716610945242221576,was not the best Appleby been but the wait staff was excellent The chicken with lime was good but all that rice was too much And the crunchys were not,--,--,good staff rice much crunchys,0.0,0.58,0.42,0.4404,Positive
07/28/21,Google,96015 ITHACA,2300 N. Triphammer Road   -,Ithaca,NY,14850,1,Keegan McCarty,https://maps.google.com/maps?cid=1823463973357447670,Used enjoy lunch from work butttt for some reason they thought was good strategy open Thanks Applebee,--,--,lunch work reason strategy open thank,0.0,0.667,0.333,0.3612,Positive
07/28/21,Google,78003 PUENTE HILLS MALL,1590 Azusa Ave   -,City of Industry,CA,91748,5,Daniel Berru,https://maps.google.com/maps?cid=4815941359501393146,Always great food and service top grade,--,--,great food service top grade,0.0,0.337,0.663,0.7096,Positive
07/28/21,Google,97003 S-ALPENA,1468 M-32 West   -,Alpena,MI,49707,5,Nancy Herrmann,https://maps.google.com/maps?cid=11688063008024107250,Food was excellent Server was excellent Greeter was excellent Very enjoyable visit,--,--,food enjoyable visit,0.0,0.408,0.592,0.4404,Positive
07/28/21,Google,81048 LEOMINSTER,251 N Main St   -,Leominster,MA,01453,4,Frank McAuliffe,https://maps.google.com/maps?cid=6209149895482800957,Always pleasant experience Good food and service,--,--,pleasant experience food service,0.0,0.476,0.524,0.5106,Positive
07/28/21,Google,94079 PLYMOUTH,2225 N Oak Road   -,Plymouth,IN,46563,5,Carol Watkins,https://maps.google.com/maps?cid=1263275180119387890,Great atmosphere great people and terrific food and drinks,--,--,great atmosphere great people terrific food drink,0.0,0.261,0.739,0.9062,Positive
07/28/21,Google,93034 GRAND AVE,6656 W. Grand Avenue   -,Chicago,IL,60707,5,CRAIG BILES,https://maps.google.com/maps?cid=13623841636529599334,Good eating they you have Lotta deals which like and take advantage usually place pretty clean service good looking forward next visit,--,"CRAIG BILES, thank you so much for the 4 stars! We appreciate you taking the time to share your feedback. We hope to see you again soon! :) -Abby",lotta deal advantage pretty clean service next visit,0.0,0.388,0.612,0.7845,Positive
07/28/21,Google,89094 VALPARAISO,670 Morthland   -,Valparaiso,IN,46385,5,Nancy Bowers,https://maps.google.com/maps?cid=16716132324329862822,Love this applebees Staff friendly and its always clean Great food and prices,--,--,love staff friendly clean great food price,0.0,0.174,0.826,0.9349,Positive
07/28/21,Google,84066 ROSWELL,2212 North Main   -,Roswell,NM,88201,1,leonard y,https://maps.google.com/maps?cid=5412569667339647154,Disgusting restaurant Nothing but meat and chicken absolutely nothing eat your not meat eater asked for the Mac and cheese without the chicken comes with and had bacon salads all with chicken Must big the armed forces When eating don want look huge picture police car the wall Slop food disgusting,--,--,restaurant meat chicken meat eater cheese chicken bacon salad chicken armed force huge picture police car wall food,0.0,0.881,0.119,0.3182,Positive
07/28/21,Google,80042 LAKE WORTH,6301 Lake Worth Blvd.   -,Lake Worth,TX,76135,4,Phillip Angieri,https://maps.google.com/maps?cid=7271759818341138303,Fast service strong drink,--,--,fast service strong drink,0.0,0.476,0.524,0.5106,Positive
07/28/21,Google,99016 EASTON COMMONS,8999 Ocean Gateway Dr.   -,Easton,MD,21601,5,Mary Whitehead,https://maps.google.com/maps?cid=13166581299209692859,The service was excellent food was great Very good atmosphere enjoyed our selves Thanks again,--,--,service great atmosphere self thank,0.0,0.312,0.688,0.765,Positive
07/28/21,Google,83064 BANGOR,718 Hogan Road   -,Bangor,ME,04401,5,Wanda Curtis,https://maps.google.com/maps?cid=15115789539869276847,Quick Friendly servers Clean,--,--,quick friendly server clean,0.0,0.253,0.747,0.7096,Positive
07/28/21,Google,95043 MT. PLEASANT,4929 E. Pickard Road   -,Mt. Pleasant,MI,48858,1,Travis Moran,https://maps.google.com/maps?cid=434185250656417097,Got curbside pickup orders had fries and two orders were burgers not drop ketchup share between them seems like basic condiment add with this order also got spinach dip tortilla chips were not salted salt packets Will never back,--,--,curbside pickup order fry order burger share basic condiment order spinach dip tortilla chip salt packet,0.0,0.872,0.128,0.296,Positive
07/28/21,Google,84005 S-WINSTON PARK,1205 W. Michigan Ave.   -,Marshall,MI,49068,3,Carmen Ripley,https://maps.google.com/maps?cid=11066452315626469813,Not great this time Got take out food was cold Was not happy that could not redeem coupon code from previous visit survey took minutes Manager was not helpful not back any time soon,--,--,great time food cold happy coupon code previous visit survey minute manager back time,0.0,0.606,0.394,0.8316,Positive
07/28/21,Google,"77046 DEVILS LAKE, ND",509 Hwy 2 East   -,Devils Lake,ND,58301,1,Caleb Wiens,https://maps.google.com/maps?cid=1576263666564605118,The food was fine but the restaurant was cold that had get leave the restaurant and stand outside twice during the meal warm,--,--,fine restaurant cold leave restaurant stand meal warm,0.121,0.505,0.374,0.3612,Positive
07/28/21,Google,93006 FEDERAL ROAD,57 Federal Road   -,Danbury,CT,06810,5,Tama Murphy,https://maps.google.com/maps?cid=14507803066343191280,Always pleasant servers and bartenders Food consistent and well priced you during happy hour,--,--,pleasant server food consistent happy hour,0.0,0.364,0.636,0.7906,Positive
07/28/21,Google,83084 BENTON HARBOR,2050 Pipestone Road   -,Benton Harbor,MI,49022,1,Carol Bogdanski,https://maps.google.com/maps?cid=10724501774209947432,Not busy But took forever Brought food Needed ketchup for fries waited forever Seemed like socialize with staff instead taking care business Will not back,--,--,busy food ketchup fry staff care business,0.0,0.652,0.348,0.4939,Positive
07/28/21,Google,89097 SNELLVILLE,1925 Highway 124   -,Snellville,GA,30078,5,Walter Turner,https://maps.google.com/maps?cid=16487157063280617602,Good food great drinks Lovely bartender,--,--,food great drink bartender,0.0,0.423,0.577,0.6249,Positive
07/28/21,Google,95071 LITCHFIELD MCDOWELL,13832 W. McDowell Road   -,Goodyear,AZ,85338,5,Onaga Xxxx,https://maps.google.com/maps?cid=9628759940700970228,Service was fantastic Staff was friendly and our server was attentive The food was delicious and prices were fair recommend this place anyone,--,--,service fantastic staff friendly server attentive food delicious price fair recommend place,0.0,0.314,0.686,0.936,Positive
