Review Date,Source,Location,Address,City,State,ZIP,Star Rating,Author,URL,Feedback,Original Feedback Language (if not English),Engagement Response,reviews,Negative_Score,Neutral_Score,Positive_Score,Compound_Score,Sentiment
07/28/21,Google,83083 MUSKEGON,1825 East Sherman Blvd   -,Muskegon,MI,49444,4,DANIEL KENT,https://maps.google.com/maps?cid=13446550186741965175,for steak was real good,--,--,,0.0,0.0,0.0,0.0,Neutral
07/28/21,Google,84032 ILIFF,14091 E. Iliff Avenue   -,Aurora,CO,80014,5,julia moore,https://maps.google.com/maps?cid=16257314941577754228,Always amazing,--,--,amazing,0.0,0.0,1.0,0.5859,Positive
07/28/21,Google,75097 CLARION,22296 State Highway 68   -,Clarion,PA,16214,5,Mikael Shkambi,https://maps.google.com/maps?cid=7715513690480638950,Great service great people great place,--,--,great service great people great place,0.0,0.196,0.804,0.9231,Positive
07/28/21,Google,92048 HAMILTON,333 State Highway #33   -,Hamilton,NJ,08619,3,Rimon Mikhael,https://maps.google.com/maps?cid=6944961986172508689,that all can say Applebee what would expect,--,--,,0.0,0.0,0.0,0.0,Neutral
07/28/21,Google,75034 BARTRAM PARK,14560 Old St Augustine Rd   -,Jacksonville,FL,32258,4,John Butler,https://maps.google.com/maps?cid=16105558124496399249,Food was great and service very good,--,--,food great service,0.0,0.328,0.672,0.6249,Positive
07/28/21,Google,90067 BRADLEY,1040 N. Kinzie Ave.   -,Bradley,IL,60915,5,Brittany Lane,https://maps.google.com/maps?cid=11916657387787750203,Great service very polite waiters,--,--,great service polite waiter,0.0,0.423,0.577,0.6249,Positive
07/28/21,Google,81043 PORTSMOUTH,1464 Woodbury Avenue   -,Portsmouth,NH,03801,1,Trevor McGlone,https://maps.google.com/maps?cid=4520806124498862384,not Applebee Portsmouth Appetizers were okay not great just okay order was supposed well done cheeseburger with lettuce pickles ketchup and mustard which came with fries girlfriend ordered Three Cheese Penne pasta with grilled chicken burger had tomatoes absolutely soaked inside the bun and outside which asked them remove and was underdone that was STILL RAW the center girlfriend pasta was drenched garlic that started burn her throat the complete wronge sauce was inside the dish she ordered Creamy Parmesan and she got Alfredo and the chicken was crusted with pepper did not sit well either our stomachs and NOT recommend going here for food stars review,--,--,appetizer great okay order cheeseburger lettuce fry cheese chicken burger tomato bun raw garlic complete wronge sauce dish pepper stomach food star,0.0,0.769,0.231,0.7184,Positive
07/28/21,Google,79086 LAVALE,12201 Winchester Rd. SW   -,LaVale,MD,21502,4,Deb Watson,https://maps.google.com/maps?cid=2753094347019764731,Best cheeseburger town,--,--,good cheeseburger town,0.0,0.408,0.592,0.4404,Positive
07/28/21,Google,94003 GOSHEN,1807 Reith Blvd   -,Goshen,IN,46526,5,People Unite !,https://maps.google.com/maps?cid=16224711922873272129,Great place,--,--,great place,0.0,0.196,0.804,0.6249,Positive
07/28/21,Google,80036 PARIS,3905 Lamar Avenue   -,Paris,TX,75462,1,Angela Jones,https://maps.google.com/maps?cid=14927680130682010795,Very disappointed service was terrible the manager forgot turn the keg draft beer bottle beer was Luke warm service was the worse let sat table with food drinks almost done bring drinks manager looked awful for his position,--,--,disappointed service terrible manager draft beer service bad table food drink bring drink manager awful position,0.514,0.486,0.0,-0.9136,Negative
07/28/21,Google,98039 COMMERCE,105 E. Ridgeway Road   -,Commerce,GA,30529,2,John Burke,https://maps.google.com/maps?cid=747184169223849489,The service was very slow and our food was mediocre couldn have had nicer server though,--,--,service food mediocre nice server,0.0,0.588,0.412,0.4215,Positive
07/28/21,Google,83070 S-LITTLETON,582 Meadow Street   -,Littleton,NH,03561,4,Couch Dude,https://maps.google.com/maps?cid=3516473763992798682,Food was decent but after few bites lost appetite just tasted funny service was decent and quick and the blue mana margarita must,--,--,food decent bite appetite funny service decent quick,0.0,0.707,0.293,0.4404,Positive
07/28/21,Google,84058 MISSION AND PINE,12217 East Mission Ave   -,Spokane,WA,99206,4,Lisa Wisor,https://maps.google.com/maps?cid=6378138306162077624,Food was good Service was good,--,--,food,0.0,1.0,0.0,0.0,Neutral
07/28/21,Google,97049 LANCASTER,4967 Transit Road   -,Depew,NY,14043,5,Brittany Dion,https://maps.google.com/maps?cid=10502184681485687423,Cory the bartender was great,--,--,bartender great,0.0,0.196,0.804,0.6249,Positive
07/28/21,Google,94044 MIDWEST CITY,608 S Air Depot Blvd.   -,Midwest City,OK,73110,1,Juana Gomez,https://maps.google.com/maps?cid=2315829299741008025,Dinner was not good and was over charged,--,--,dinner,0.0,1.0,0.0,0.0,Neutral
07/28/21,Google,83056 JASPER,4223 Mannheim Road   -,Jasper,IN,47546,4,Tammy Graham,https://maps.google.com/maps?cid=11612739214779918035,The half rack ribs was removed from the two can dine menu disappointing But the food was good,--,--,half rack rib dine menu disappointing food,0.348,0.652,0.0,-0.4939,Negative
